2017-05-02 13:20:32,345 [main] INFO  marytts.main Startup complete.
2017-05-02 13:20:32,348 [main] INFO  marytts.R 1 New request (input type "TEXT", output type "AUDIO", voice "dfki-poppy-hsmm", audio "WAVE")
2017-05-02 13:20:32,349 [main] INFO  marytts.R 1 Handling request using the following modules:
2017-05-02 13:20:32,349 [main] INFO  marytts.R 1 - TextToMaryXML (marytts.modules.TextToMaryXML)
2017-05-02 13:20:32,349 [main] INFO  marytts.R 1 Next module: TextToMaryXML
2017-05-02 13:20:32,350 [main] INFO  marytts.R 1 Handling request using the following modules:
2017-05-02 13:20:32,350 [main] INFO  marytts.R 1 - JTokeniser (marytts.language.en.JTokeniser)
2017-05-02 13:20:32,350 [main] INFO  marytts.R 1 - Preprocess (marytts.language.en.Preprocess)
2017-05-02 13:20:32,350 [main] INFO  marytts.R 1 - OpenNLPPosTagger (marytts.modules.OpenNLPPosTagger)
2017-05-02 13:20:32,350 [main] INFO  marytts.R 1 - JPhonemiser (marytts.modules.JPhonemiser)
2017-05-02 13:20:32,350 [main] INFO  marytts.R 1 - Prosody (marytts.language.en.Prosody)
2017-05-02 13:20:32,350 [main] INFO  marytts.R 1 - PronunciationModel (marytts.language.en.PronunciationModel)
2017-05-02 13:20:32,350 [main] INFO  marytts.R 1 - AcousticModeller (marytts.modules.AcousticModeller)
2017-05-02 13:20:32,350 [main] INFO  marytts.R 1 - Synthesis (marytts.modules.Synthesis)
2017-05-02 13:20:32,350 [main] INFO  marytts.R 1 Next module: JTokeniser
2017-05-02 13:20:32,352 [main] INFO  marytts.R 1 Next module: Preprocess
2017-05-02 13:20:32,353 [main] INFO  marytts.R 1 Next module: OpenNLPPosTagger
2017-05-02 13:20:32,355 [main] INFO  marytts.R 1 Next module: JPhonemiser
2017-05-02 13:20:32,356 [main] INFO  marytts.R 1 Next module: Prosody
2017-05-02 13:20:32,358 [main] INFO  marytts.R 1 Next module: PronunciationModel
2017-05-02 13:20:32,358 [main] INFO  marytts.R 1 Next module: AcousticModeller
2017-05-02 13:20:32,370 [main] INFO  marytts.ParameterGeneration Parameter generation for LF0: 
2017-05-02 13:20:32,370 [main] INFO  marytts.PStream Global variance optimization
2017-05-02 13:20:32,371 [main] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2017-05-02 13:20:32,371 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=1
2017-05-02 13:20:32,373 [main] INFO  marytts.R 1 Next module: Synthesis
2017-05-02 13:20:32,390 [main] INFO  marytts.HMMSynthesizer Synthesizing one sentence.
2017-05-02 13:20:32,391 [main] INFO  marytts.HTSEngine Using prosody from acoustparams.
2017-05-02 13:20:32,392 [main] INFO  marytts.HTSEngine Number of models in sentence numModel=12  Total number of states numState=60
2017-05-02 13:20:32,392 [main] INFO  marytts.HTSEngine Total number of frames=288  Number of voiced frames=109
2017-05-02 13:20:32,394 [main] INFO  marytts.ParameterGeneration Parameter generation for MGC: 
2017-05-02 13:20:32,394 [main] INFO  marytts.PStream Global variance optimization
2017-05-02 13:20:32,397 [main] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2017-05-02 13:20:32,397 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=21
2017-05-02 13:20:32,399 [main] INFO  marytts.PStream Gradient GV optimization for feature: (1)  number of iterations=2
2017-05-02 13:20:32,402 [main] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2017-05-02 13:20:32,402 [main] INFO  marytts.PStream Gradient GV optimization for feature: (2)  number of iterations=21
2017-05-02 13:20:32,406 [main] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2017-05-02 13:20:32,406 [main] INFO  marytts.PStream Gradient GV optimization for feature: (3)  number of iterations=21
2017-05-02 13:20:32,407 [main] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2017-05-02 13:20:32,407 [main] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=21
2017-05-02 13:20:32,409 [main] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2017-05-02 13:20:32,409 [main] INFO  marytts.PStream Gradient GV optimization for feature: (5)  number of iterations=21
2017-05-02 13:20:32,410 [main] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2017-05-02 13:20:32,410 [main] INFO  marytts.PStream Gradient GV optimization for feature: (6)  number of iterations=21
2017-05-02 13:20:32,411 [main] INFO  marytts.PStream Gradient GV optimization for feature: (7)  number of iterations=17
2017-05-02 13:20:32,412 [main] INFO  marytts.PStream Gradient GV optimization for feature: (8)  number of iterations=14
2017-05-02 13:20:32,412 [main] INFO  marytts.PStream Gradient GV optimization for feature: (9)  number of iterations=15
2017-05-02 13:20:32,413 [main] INFO  marytts.PStream Gradient GV optimization for feature: (10)  number of iterations=18
2017-05-02 13:20:32,414 [main] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2017-05-02 13:20:32,414 [main] INFO  marytts.PStream Gradient GV optimization for feature: (11)  number of iterations=21
2017-05-02 13:20:32,415 [main] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2017-05-02 13:20:32,415 [main] INFO  marytts.PStream Gradient GV optimization for feature: (12)  number of iterations=21
2017-05-02 13:20:32,415 [main] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2017-05-02 13:20:32,416 [main] INFO  marytts.PStream Gradient GV optimization for feature: (13)  number of iterations=21
2017-05-02 13:20:32,416 [main] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2017-05-02 13:20:32,416 [main] INFO  marytts.PStream Gradient GV optimization for feature: (14)  number of iterations=21
2017-05-02 13:20:32,417 [main] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2017-05-02 13:20:32,417 [main] INFO  marytts.PStream Gradient GV optimization for feature: (15)  number of iterations=21
2017-05-02 13:20:32,418 [main] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2017-05-02 13:20:32,418 [main] INFO  marytts.PStream Gradient GV optimization for feature: (16)  number of iterations=21
2017-05-02 13:20:32,419 [main] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2017-05-02 13:20:32,419 [main] INFO  marytts.PStream Gradient GV optimization for feature: (17)  number of iterations=21
2017-05-02 13:20:32,419 [main] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2017-05-02 13:20:32,419 [main] INFO  marytts.PStream Gradient GV optimization for feature: (18)  number of iterations=21
2017-05-02 13:20:32,420 [main] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2017-05-02 13:20:32,420 [main] INFO  marytts.PStream Gradient GV optimization for feature: (19)  number of iterations=21
2017-05-02 13:20:32,420 [main] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2017-05-02 13:20:32,420 [main] INFO  marytts.PStream Gradient GV optimization for feature: (20)  number of iterations=21
2017-05-02 13:20:32,421 [main] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2017-05-02 13:20:32,421 [main] INFO  marytts.PStream Gradient GV optimization for feature: (21)  number of iterations=21
2017-05-02 13:20:32,422 [main] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2017-05-02 13:20:32,422 [main] INFO  marytts.PStream Gradient GV optimization for feature: (22)  number of iterations=21
2017-05-02 13:20:32,422 [main] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2017-05-02 13:20:32,422 [main] INFO  marytts.PStream Gradient GV optimization for feature: (23)  number of iterations=21
2017-05-02 13:20:32,423 [main] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2017-05-02 13:20:32,423 [main] INFO  marytts.PStream Gradient GV optimization for feature: (24)  number of iterations=21
2017-05-02 13:20:32,423 [main] INFO  marytts.ParameterGeneration Using f0 from maryXML acoustparams
2017-05-02 13:20:32,424 [main] INFO  marytts.PStream Global variance optimization
2017-05-02 13:20:32,425 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=2
2017-05-02 13:20:32,426 [main] INFO  marytts.PStream Gradient GV optimization for feature: (1)  number of iterations=10
2017-05-02 13:20:32,426 [main] INFO  marytts.PStream Gradient GV optimization for feature: (2)  number of iterations=12
2017-05-02 13:20:32,427 [main] INFO  marytts.PStream Gradient GV optimization for feature: (3)  number of iterations=21
2017-05-02 13:20:32,427 [main] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=7
2017-05-02 13:20:32,431 [main] INFO  marytts.R 1 Request processed in 82 ms.
2017-05-02 13:20:32,431 [main] INFO  marytts.R 1    TextToMaryXML took 0 ms
2017-05-02 13:20:32,431 [main] INFO  marytts.R 1    JTokeniser took 2 ms
2017-05-02 13:20:32,431 [main] INFO  marytts.R 1    Preprocess took 1 ms
2017-05-02 13:20:32,431 [main] INFO  marytts.R 1    OpenNLPPosTagger took 2 ms
2017-05-02 13:20:32,433 [main] INFO  marytts.R 1    JPhonemiser took 1 ms
